f694d119-bf58-4449-a811-cb7a2165d8c0,2c527579-8b48-49b4-8383-8c084c046c62,e0215e64-2787-40c4-a8bc-8c26118bae76,fef6e287-8f0d-455b-ba19-7c48c2c583d2,599b0d4c-62d4-48cd-a93c-1dd1fe85abfa,456dadea-0262-488f-8af9-63ca86c8a9f7,49e91d8f-37a3-4b7b-8062-d3ca8f561d01,8b948ed4-41e9-4441-9609-adaf4d3a102e,48bd0e00-be54-47a2-9aed-73c0c863fd39,6f54f9c0-5687-4a07-bf75-b506752b4a52,47761280-913e-4826-b400-f04f85b17476,b1cbc674-f3c1-453d-9cd1-8f4db32286ae
10,16,7,14,9,33,10,8,12,27,19,8
601,277,385,383,218,850,911,267,288,804,466,202
1490,1025,893,1249,696,2863,2357,842,978,2778,1641,653
228,488,166,603,336,754,134,637,919,368,481,359
5804,4179,5017,5107,5059,9702,5867,7174,9195,7228,4450,3596
35,59,17,140,40,149,32,74,132,73,72,38
1557,1886,739,3834,1016,3749,1295,1915,3241,2431,1980,1003
3,3,2,4,2,13,1,4,5,8,4,3
2,14,2,24,3,44,13,12,10,6,13,14
53,131,40,134,22,299,77,52,106,20,108,64
29,46,32,58,29,75,18,70,76,49,58,56
4099,4584,4342,5220,3987,7579,5558,7714,6146,8768,5364,6644
6,2,2,4,12,9,5,1,6,2,6,3
1941,2405,1737,2953,2749,7608,4767,3732,4407,6523,2748,1442
576,360,258,1904,110,832,899,37,8995,4812,401,546459
2059,1335,1347,2622,208,1440,2622,228,223,680,750,1340
367,377,158,940,73,324,148,89,57,103,229,311
4884,2646,1833,6554,970,470,2783,1768,473,1708,1370,264
601,630,468,3629,704,5512,658,2820,1172,3668,1259,1648
0,0,0,0,0,0,0,0,1,0,0,0
643,412,270,318,135,280,1130,199,281,380,381,137
1963,2727,816,2223,1032,1622,2134,1123,1825,1151,2328,903
5420,4144,6660,3076,3012,6750,4655,8084,5282,8629,3416,1780
924,409,234,521,204,1352,201,520,607,219,378,232
9884,3995,2885,4654,2162,10517,5912,5099,5878,4007,3536,2403
0,0,0,0,0,0,0,0,0,0,0,0
3525,0,0,0,0,0,0,1,0,0,0,0
9,1,2,3,3,1,7,0,2,3,5,1
3047,3374,3384,3270,1730,5500,2151,2672,3787,1602,2642,1915
3125,3424,3547,3337,1778,5915,2197,2796,4034,1653,2726,1981
1675,1033,1225,1378,946,2307,1041,2306,2480,1083,1556,1102
1768,1474,1004,685,604,2556,1555,1818,1018,1511,706,545
4376,4980,2574,3695,2951,10981,2748,7177,6100,4532,4066,3052
19,11,4,5,10,3,1,7,5,5,3,5
0,0,0,0,0,0,0,0,0,0,0,0
3186,2013,1532,6670,668,8876,1088,1965,4335,2156,2831,96
9493,16508,7383,16635,3546,35923,10540,7404,28347,4342,15218,2085
4,0,1,0,0,1,0,0,0,0,0,0
1,1,1,2,0,0,0,0,2,1,2,6
15,4,4,7,5,0,10,1,1,2,8,2
1327,3907,1027,8833,1236,1865,1246,5034,5391,638,4719,17174
0,0,0,0,0,0,0,1,0,0,0,0
3396,1262,82,767,749,494,275,4431,121,218,2099,20
740,591,928,684,534,1577,491,581,619,1458,1059,145
1697,2910,1639,2449,1377,5248,2446,3451,2896,3220,9678,1620
4580,7058,2976,8080,3672,13989,4722,7742,8924,6870,17489,3932
2705,1534,1828,2138,2118,2905,5593,1816,2043,4238,11227,1663
321,386,409,292,155,698,619,389,338,373,1306,198
22000,12904,9525,18789,20917,19953,22270,18054,17742,39729,66068,8412
4651,4885,2219,6321,2606,11864,4255,4095,5773,7529,19910,3885
5,3,0,1,0,1,0,0,0,0,0,1
140,67,95,122,62,675,474,42,162,129,267,12
147,56,78,98,62,309,180,70,137,150,208,33
870,656,469,990,530,2356,664,908,1531,1136,2557,424
27,21,27,7,7,104,3,5,69,59,29,1
17,18,189,0,3,7,3,15,10,0,5,0
81,42,628,2,9,50,8,289,24,3,25,0
1,1,2,0,0,11,0,1,1,0,1,0
9,5,55,3,1,44,0,18,6,1,28,0
31,25,16,12,13,61,16,3,32,40,28,6
4274,2042,3451,2638,3325,5657,5530,2901,4191,11682,9797,2203
5908,2688,4411,3576,4258,7819,8871,3890,5621,16574,12852,2841
421,598,248,369,315,478,569,376,411,243,1007,224
76,141,69,74,48,194,113,32,99,52,174,38
435,694,424,416,2536,668,896,331,302,148,3807,61
3081,2863,2496,1631,8739,3197,6450,1314,1431,827,14494,398
3090,3559,2884,3559,1946,8462,3323,3846,5828,6324,7567,2622
22,12,5,21,9,58,29,7,30,20,12,1
9,2,3,3,2,7,18,2,1,6,12,6
0,0,0,1,0,0,0,0,0,0,0,4
0,3,0,2,0,16,0,0,4,0,2,4
0,1,0,0,0,8,0,0,3,0,1,0
9,20,4,37,0,33,7,14,23,3,29,7
562,526,294,715,250,1586,319,616,647,918,309,491
0,2,0,5,0,5,0,1,3,0,4,0
0,2,0,0,0,1,0,0,0,0,2,1
0,0,0,0,0,1,0,0,0,0,0,0
4705,4878,4451,6891,2791,10084,3839,6017,8974,6891,13350,4022
12,4,16,1,8,2,0,6,14,22,1,0
6,7,13,5,4,26,0,5,7,6,26,1
3082,2008,2374,2252,1537,4973,2805,3219,2885,10641,7443,1198
1756,811,916,1162,1037,2987,2865,2419,1349,11577,4242,806
159,304,223,283,148,512,119,220,280,395,451,108
1,1,1,1,1,2,0,1,1,1,1,1
1,3,0,1,0,3,0,1,2,1,0,0
0,0,0,0,0,1,0,1,0,0,1,0
4638,5003,4535,5611,4002,14197,4069,7192,6408,8438,8864,3134
0,0,1,0,0,0,0,0,0,0,0,0
57,74,50,142,53,77,9,115,143,61,141,55
7349,7740,7595,12540,5435,9381,5639,11878,15124,12535,16835,4748
21,4,30,17,0,5,71,45,25,7,52,1
3372,4965,4953,4880,1450,2813,3977,5124,3466,4656,7346,4644
1345,725,1181,1067,696,1417,1359,1412,1774,4090,1847,14
1027,898,1566,837,516,1353,1822,1123,1188,1288,1277,20
912,1545,630,1570,801,1913,649,1532,2484,633,2317,153
4,0,305,0,4,62,137,4,1,0,11,4
6,2,584,0,11,130,215,9,1,0,19,8
90,54,1256,77,133,640,495,173,99,417,257,170
91,43,48,26,39,4,58,122,52,22,68,137
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
7,3,0,0,4,5,4,2,1,3,4,1
56,28,9,20,4,2,36,122,7,10,47,67
104,158,3,65,31,5,23,15,61,5,4,96
36,52,8,8,26,6,11,61,27,1,12,18
10396,24944,1864,7369,15737,1245,4095,30261,12729,6594,3208,62787
1,2,0,1,0,1,0,0,1,4,1,0
3614,3652,2929,3705,1851,2228,2486,4211,4435,4613,4274,3211
136,78,103,69,79,59,269,105,128,144,158,254
1539,1707,981,1928,1344,1122,1897,2900,3537,2230,2982,6508
730,480,640,524,768,363,1191,1081,1434,1634,2026,58
510,598,388,311,306,77,338,1399,344,919,1623,463
0,2,0,3,1,0,0,1,1,0,1,2
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
37,127,9,51,34,15,18,65,26,26,28,27
0,5,0,2,0,0,0,1,1,1,1,1
7,89,8,10,0,4,4,11,15,7,11,10
0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,4,0,6,0,0
0,0,0,0,0,0,0,1,0,3,0,0
1,0,0,0,0,0,5,2,0,10,0,0
0,0,0,0,0,0,0,0,0,2,0,0
450,1170,439,949,308,477,391,668,1020,447,1884,372
2988,11542,2948,8143,4562,6856,2934,6470,20234,3689,29671,6775
4,15,0,13,11,0,2,12,11,2,11,12
2,6,1,5,1,0,0,2,5,1,8,3
1641,2869,1250,4065,1277,2024,2480,3704,5081,3721,6551,1626
1530,2610,1175,3709,1160,1829,2411,3321,4595,3388,5911,1494
206,250,112,263,153,238,851,155,233,932,439,176
56,40,88,50,11,40,209,29,10,104,130,7
387,529,460,1244,376,589,408,756,841,785,2290,1124
145,49,93,167,86,158,251,312,229,557,564,185
2652,1375,2711,3367,1487,2307,6298,3088,2838,6091,7072,3789
1801,1395,1159,1780,913,1446,1499,1570,2952,3193,6455,1879
315,395,132,591,235,240,395,325,743,777,1889,414
1906,2766,1262,4509,1934,2014,2327,2563,5486,6691,14676,2769
2,1,0,1,0,1,1,1,2,3,3,0
1892,1842,956,2900,1223,2507,2212,2969,4845,7046,12254,45
2937,2687,1821,3864,2651,5343,4400,3194,4730,8211,12021,2234
1436,826,614,648,1026,1714,3102,735,1009,3308,3655,358
420,134,247,134,39,986,1967,11,148,1125,291,4
210,174,149,103,34,538,303,18,138,295,262,3
3122,3569,1636,3544,2294,3957,3157,3053,4029,6048,16582,437
5427,5899,2858,5988,3238,6804,7075,4919,6367,13507,26566,514
9,8,7,14,12,12,6,9,14,15,7,4
3,2,1,2,4,0,133,19,1,31,2,5
16,20,2,17,11,2,0,10,30,41,3,6
2622,645,1705,1308,1890,1574,5512,1438,2151,9565,6684,882
2640,674,1741,1386,1929,1658,5582,1454,2236,9689,6954,921
20,3,0,0,18,1,4,13,6,6,0,48
1,0,0,0,4,0,4,1,5,13,0,57
77,158,21,91,46,11,27,68,236,108,65,1493
45,16,2,8,16,23,1,12,28,64,15,6
2,0,0,1,0,0,0,2,0,7,2,0
0,0,0,0,0,0,0,1,2,5,0,22
1,0,0,1,0,0,0,0,0,0,3,0
553,900,692,1735,893,1275,1073,1934,2672,1856,12177,962
559,499,1370,1064,267,2204,419,1256,447,315,4198,15
2090,1714,4471,3928,1189,7878,3559,5076,1867,2890,14374,53
35,62,63,35,56,119,17,36,66,134,187,19
0,0,0,0,0,0,0,0,0,0,2,0
1296,2018,1774,1983,953,2017,1077,2681,2619,1770,7171,190
1271,1857,1740,1820,898,1906,1066,2545,2429,1739,6636,181
124,160,100,271,160,308,50,221,321,227,1090,191
1615,2207,1287,2820,1592,2737,2238,2311,3224,2919,9135,1934
66,14,2,2,60,8,71,20,4,949,11,1
45,10,1,3,42,5,53,12,3,507,12,1
2680,1347,1679,1868,1262,3002,2065,2599,1472,3028,8188,781
2051,368,775,1032,245,3341,1390,2265,752,6416,5281,44
71,23,31,33,21,40,144,34,33,50,111,17
1286,1563,1209,1877,852,1769,1985,1585,1924,1676,5984,1124
89,114,283,79,66,145,116,54,196,67,502,26
5372,6084,7369,7100,2842,6757,4107,6908,7370,4720,16225,2630
32,11,9,4,3,11,22,3,4,32,43,10
5,2,2,0,0,1,2,0,6,2,1,0
8,7,3,7,2,1,1,16,3,10,10,16
0,0,0,0,0,0,0,0,0,0,0,0
6,12,2,2,3,3,6,0,1,2,7,1
2241,7441,6115,6905,898,10638,4893,4382,3533,16688,21855,1167
1374,951,1804,1653,713,893,698,722,1870,4513,7291,1745
3915,1803,2446,2088,1902,3406,5509,1561,1919,4589,13832,1052
4023,1860,2528,2132,1941,3477,5767,1601,1950,4604,14159,1075
1937,1357,1587,867,1660,1507,1108,2226,2151,1865,5233,693
130,261,57,250,344,554,122,217,701,627,1180,1454
1,0,0,1,0,0,0,0,0,3,8,0
109,119,98,85,169,113,220,140,2033,997,132,8675
0,1,0,0,0,0,0,0,0,0,0,0
224,234,117,270,287,360,259,268,448,601,1498,394
3134,2855,2895,4291,3579,5570,6953,4627,6483,9874,25515,4430
1,2,0,1,0,1,0,1,0,0,3,0
1609,1744,1348,1673,973,1169,2573,2177,2216,2303,10522,4689
77,292,12,299,325,533,17,320,494,323,572,113
7810,14066,6007,14978,7420,21819,6188,14599,18464,24664,30783,5870
123,97,26,67,75,27,89,178,126,212,84,91
552,292,510,379,322,642,691,442,547,1116,3167,335
1,2,0,1,0,0,3,0,1,1,7,1
11,10,1,8,1,1,3,8,2,5,10,3
890,1039,222,649,656,244,736,1474,935,982,855,893
0,2,3,0,0,1,0,1,3,2,0,1
151,308,170,153,283,198,391,476,774,290,405,1663
1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,1,0,0,0,2,1,3,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
16,54,8,48,13,18,2,5,36,3,100,25
1147,2881,1374,2064,529,627,1030,266,1688,426,4386,977
1,2,0,0,0,1,0,0,0,2,3,0
0,0,0,0,0,0,0,0,0,1,0,0
4266,1024,1,2,201,4,1208,8,2653,3,21,52
5,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1181,2869,1670,2984,1058,1523,1053,1928,3365,999,3189,1265
1,2,1,2,0,2,0,1,0,1,2,1
3,153,18,106,2,4,18,4,12,0,87,50
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
27,71,71,51,15,15,25,42,60,17,114,29
40,331,35,296,62,34,0,155,396,12,561,195
1,2,5,9,1,0,1,2,9,0,16,7
393,1384,540,543,402,79,342,346,1147,145,1186,1071
93,429,342,617,164,29,398,195,630,113,504,364
63,241,313,480,116,20,381,138,415,106,299,187
1,1,4,7,1,1,4,1,2,2,6,2
1372,2999,1501,2253,750,2081,1981,1113,2473,1661,5179,1263
0,0,0,0,2,0,0,3,1,0,0,2
0,1,0,0,2,0,0,1,1,0,1,2
1,1,0,0,0,0,0,0,0,0,1,0
399,1953,112,176,938,322,569,1288,657,165,4252,1090
25,13,0,4,19,14,80,25,11,7,75,65
2062,3877,2856,3394,816,1780,2159,1945,3704,1439,6908,728
1037,3174,2055,3193,1020,1824,796,2346,3340,837,3842,1304
272,440,511,344,198,261,327,311,266,145,325,230
1220,3529,2051,3961,1443,2349,1091,2451,3403,1411,4724,1042
53,173,63,6,0,78,2,2,1,4,181,8
11,50,29,30,17,10,25,174,23,482,24,40
5,6,6,0,1,2,1,13,1,5,2,7
0,0,0,0,0,0,0,0,0,0,1,0
3,2,1,1,1,0,13,1,3,2,5,1
16,54,20,21,7,24,64,32,50,9,56,38
51,25,49,28,35,43,22,82,45,78,52,27
193,462,252,397,164,137,448,428,478,213,466,468
0,0,0,0,0,0,4,1,0,0,2,0
2,2,1,3,0,2,0,0,4,2,4,1
49,16,57,39,33,163,137,13,70,240,35,29
639,707,589,760,591,744,1144,880,1369,868,2044,983
7993,4747,5486,4699,4473,7254,13003,5618,7247,16619,12311,3172
6,3,0,10,5,2,0,0,2,2,5,0
1238,1453,1039,1807,1483,2666,1941,2146,3039,8258,6115,1523
548,283,398,382,754,150,965,1698,1697,420,1302,3464
22,138,7,73,64,52,1,332,268,110,605,304
1409,4165,856,2113,2155,1563,1707,9724,7667,8808,16729,8200
3,0,0,0,0,0,0,2,6,2,1,2
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,3,0,0,0,0,0
93,91,34,194,74,32,140,114,132,92,180,141
1186,905,584,1790,761,280,2573,975,1046,1023,1506,1139
312,234,100,467,178,81,651,251,279,271,307,273
0,0,1,1,0,1,0,0,0,1,1,0
0,1,0,0,0,0,0,0,0,0,0,0
927,1090,1215,1604,907,2017,1679,1377,1811,4669,5131,522
980,1063,1231,1640,871,1949,1757,1320,1961,4296,5219,509
957,686,1112,1105,535,768,1617,796,1591,2235,2985,542
5197,5950,5405,6056,4546,7002,4078,8007,7333,14093,20014,5129
0,0,0,0,0,0,0,0,0,1,0,0
579,675,494,626,469,576,300,529,930,677,1007,481
4537,7782,2060,14113,2863,8161,1785,4887,14346,6784,24393,1934
453,232,462,398,336,283,550,307,377,1591,986,215
2294,1686,2151,2472,2048,1926,2132,2409,2761,7044,7292,1509
202,182,91,332,266,243,123,509,460,959,1015,213
1955,2530,1518,4657,1159,320,1766,5070,2281,2646,671,3143
11,16,1,5,9,3,6,26,6,10,6,24
1135,902,940,1403,399,110,1304,1758,673,1724,214,887
3,7,3,13,0,4,1,9,5,7,2,10
59,73,87,230,31,112,488,27,156,229,162,42
671,559,717,627,499,685,1269,665,712,3955,1950,420
684,541,697,499,504,638,1021,689,635,4094,1917,429
4260,2312,4613,3695,1928,3087,4818,3184,3570,6780,7866,938
5026,3147,5042,5690,2708,4565,4921,4928,6085,7426,12948,1423
1208,980,892,1061,845,607,1316,1561,1208,3016,3022,606
1207,949,850,993,792,533,1280,1460,1062,2949,2749,596
2483,3675,2339,6371,1919,3847,3303,3400,7561,5747,14561,2878
87,175,51,163,286,344,120,229,300,478,539,256
4949,6312,3893,5574,6313,10387,7658,7835,9995,18681,21559,8141
791,1241,1215,421,701,323,1323,1921,2424,2819,6273,2403
2,4,1,5,0,11,0,3,1,8,20,4
2675,3624,3626,4984,2445,4924,4149,5485,7722,10976,15353,3429
148,28,2,8,66,69,88,228,109,86,369,27
1,0,0,0,0,1,0,0,2,0,0,1
1,1,1,2,1,1,1,1,2,2,2,1
1632,944,1347,1554,1099,2002,1843,1371,1985,4213,2484,482
2059,2733,2128,3263,1561,2844,2355,2527,3073,4892,4473,1163
692,864,702,1201,627,1216,1055,529,1092,2076,937,327
6035,5896,4041,6726,3906,9153,7933,8340,8274,21494,13694,84
3,0,0,1,1,2,0,0,0,1,0,0
12452,15270,8519,17278,9870,12039,5157,16633,28963,25049,22157,11919
1530,1089,353,1652,573,2235,2024,833,1242,1592,2609,961
10060,18579,9685,22779,7194,22903,8721,15342,20591,17090,27860,8722
1716,1386,1554,1512,807,1634,4949,965,1472,6482,2440,884
0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0,1,0,1,0
1,1,0,1,0,1,0,0,2,0,0,1
5735,7774,5037,9560,5239,9492,5992,9457,16763,10643,17479,6738
1337,1191,1144,1431,1380,2115,2368,1699,2355,4297,2787,1252
86,42,48,36,33,41,83,34,54,101,51,75
96,49,23,49,29,675,149,69,35,184,27,60
4948,4164,3853,5585,3713,3054,6709,5114,8074,7584,8446,2712
4607,3675,4664,3874,3018,3069,7627,5955,5612,9641,6465,2285
640,745,726,718,506,480,973,820,1106,1996,1063,388
1,7,0,1,0,5,0,1,7,0,2,0
1,2,2,0,0,5,0,1,7,0,9,1
19,21,25,28,17,57,17,25,83,45,104,9
7409,9111,6537,17865,6796,16170,5343,11012,20770,10412,26635,2949
1,1,0,1,0,0,0,1,1,0,2,1
2180,9292,1617,5070,1766,2378,784,10471,5582,2558,17138,2064
1020,1020,609,1688,654,510,593,897,1170,1258,1385,121
2450,4229,1855,5277,3418,3849,1841,6163,9566,2725,6506,18997
3,10,1,10,10,12,4,11,30,13,18,35
3,8,5,20,2,25,13,3,22,9,25,49
6,13,4,24,6,16,10,8,13,6,17,16
20,60,9,68,55,73,15,61,212,74,188,469
1122,1959,392,1879,1619,2541,883,2027,6028,2231,5569,7819
3781,2713,3691,1209,1581,627,3907,3694,1403,2635,2305,427
36,96,28,67,46,16,14,105,75,17,106,23
1,1,0,1,0,1,0,2,0,1,3,1
6792,7894,6072,4660,4160,1721,5237,9376,5757,5579,8435,1648
8376,5275,4865,3875,4937,2966,7701,2771,5593,15784,3627,2004
3864,2852,2406,2121,2190,1841,4442,1625,2551,6088,2508,1087
1550,2005,2376,1720,1826,981,3066,5111,3345,4879,5083,889
88,56,76,62,75,84,52,63,81,103,128,24
477,218,309,280,266,262,510,255,322,408,576,117
252,227,264,410,126,744,930,259,233,379,896,314
0,0,1,1,0,0,0,1,0,0,0,0
730,376,858,502,187,5090,1919,805,133,854,2306,229
349,103,96,161,88,282,612,307,239,258,227,81
12195,11423,11062,17438,8675,23119,13148,17008,28749,33316,25773,10003
3,1,1,5,0,0,0,3,5,0,4,0
0,0,0,0,0,0,0,0,0,0,1,0
26,29,31,62,19,81,7,51,102,55,102,27
243,222,267,395,120,687,403,360,487,576,597,157
0,0,0,0,0,0,0,1,0,0,0,0
9,2,3,7,7,4,0,4,2,1,6,2
155,255,104,283,112,141,75,146,118,187,263,116
1620,1785,892,2812,1317,694,1509,1562,1592,2242,3384,1494
545,882,226,117,1662,216,1018,857,2065,1165,1075,292
2617,2249,3101,2199,1690,3759,5606,3089,2982,3818,4460,1332
4896,3745,639,1572,1045,542,9162,2859,1954,13281,4861,2502
0,2,0,1,3,1,3,1,0,0,1,0
801,2162,1511,2334,612,2240,646,1999,2372,464,2587,479
51,142,42,118,32,63,47,41,114,19,51,9
8326,10536,4829,16354,4882,14037,3233,10356,9382,7355,18919,4678
45,99,38,103,15,61,52,37,68,45,54,106
97,220,73,233,48,141,95,70,184,74,106,157
4,2,0,1,0,3,0,0,2,0,6,0
456,1462,462,675,344,538,610,347,975,286,1536,219
0,0,0,0,0,0,0,0,0,0,0,0
330,1224,527,808,289,931,396,481,891,175,989,478
0,4,1,8,0,1,0,5,3,0,7,3
35,244,99,147,59,27,59,146,125,34,125,99
326,1805,669,1376,504,1171,461,647,2256,425,1947,337
0,1,4,1,1,5,1,1,4,1,1,2
4,65,3,6,8,9,0,29,63,0,75,20
272,715,484,79,300,601,162,699,917,41,900,106
148,418,104,349,171,427,115,287,446,140,447,208
839,1588,890,1765,506,985,1175,811,1826,567,1766,382
4,17,7,37,17,18,12,9,40,0,27,10
321,480,400,499,162,338,675,291,583,287,462,185
179,354,187,315,155,205,344,215,439,99,248,161
0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,1,0,0,0
238,481,413,460,170,370,428,326,469,178,288,149
159,208,121,128,122,73,217,103,281,68,316,104
19,61,21,30,34,3,6,11,47,27,30,14
17,44,47,50,17,19,58,31,52,16,40,25
0,0,0,0,0,0,0,0,0,0,1,0
728,2835,1493,3092,646,2097,437,1391,2881,700,1807,947
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,4,0,4,6,3,7,0,1,2
0,0,0,0,0,0,0,0,0,0,0,0
176,1137,321,1123,373,249,152,408,1053,64,901,360
372,960,560,736,313,839,490,430,973,306,815,240
274,474,425,282,90,446,650,276,320,448,374,57
258,571,316,405,152,457,523,278,492,398,465,96
411,1201,549,927,377,940,460,542,1219,370,1003,295
502,1443,711,1505,510,1113,399,587,1199,237,1475,504
27,84,37,130,37,216,78,42,53,16,87,34
24,16,19,23,6,21,42,15,15,46,87,8
5,5,0,5,1,10,0,0,7,4,20,4
677,1324,418,1133,383,3348,644,551,1352,394,1736,589
144,426,219,288,150,704,157,177,321,263,453,132
76,269,163,328,85,553,128,146,335,117,414,102
0,0,1,2,0,0,0,0,1,1,1,0
49,148,37,81,25,84,50,39,63,37,55,82
556,1276,585,1093,215,886,519,446,974,268,1401,285
67,189,45,116,39,117,95,50,98,66,92,100
48,230,41,228,38,124,12,90,223,9,284,57
393,1117,421,915,258,978,690,332,1115,281,1137,141
4,3,2,1,1,1,0,0,3,1,1,0
12,39,6,65,13,32,11,23,72,23,68,17
1,2,0,6,0,9,2,3,3,1,2,1
1,1,0,1,0,3,0,0,3,0,0,0
4,1,1,3,2,2,4,0,1,0,2,0
1,1,0,3,1,2,1,1,7,1,6,1
1,0,0,1,0,1,0,0,1,0,0,0
204,512,234,485,168,527,217,255,400,204,661,80
7,10,3,4,1,2,1,0,3,1,23,0
176,502,205,488,157,507,174,246,403,159,651,95
472,1502,480,961,460,1423,628,609,1259,633,1664,456
6,4,3,2,3,4,11,4,5,3,2,9
190,278,135,211,100,339,30,166,182,157,316,177
663,2189,702,1426,634,1604,791,881,1880,784,2507,623
1474,3362,2004,2482,950,1699,1224,2164,2993,867,3080,1726
215,858,279,595,219,243,177,297,772,149,973,232
29245,19343,23730,24141,15742,26009,13482,28696,43279,32185,62034,18101
8755,6474,6103,7247,6464,8607,5515,11614,15290,11733,20042,5960
5291,4498,2110,5056,2757,2900,4926,17101,8430,6031,7889,5417
1141,1579,1033,1484,1186,1553,962,2510,2203,1971,2485,1416
5373,5185,5859,4219,4327,6744,7470,4981,5967,8626,7977,3816
1859,1940,1493,1839,1448,2451,2772,1917,2267,3108,3061,1224
3955,3094,2894,3766,2209,6491,4792,2750,3204,5512,4639,1625
5,10,4,7,1,13,25,2,8,2,7,2
0,2,1,1,1,5,0,2,4,0,0,0
108,151,112,99,69,212,203,112,156,439,208,31
580,1013,671,752,487,1353,577,827,1112,1863,1719,214
0,1,0,0,0,0,0,0,1,1,1,0
4530,6560,5776,9592,3403,5567,4891,4282,8298,2879,9535,5470
0,0,0,0,0,0,0,0,1,0,0,0
5168,3426,5789,3957,3779,5198,7720,4658,5556,8932,7199,3530
3652,4843,3866,4291,2941,5953,3235,4675,5723,5777,8232,2718
0,0,1,1,0,1,0,0,0,1,1,5
0,0,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0
4006,2135,2067,3097,3758,4497,6667,11256,8254,5207,3899,21081
2700,1595,3126,1869,1441,3088,3662,2848,1281,4444,4185,1340
12888,10125,15492,12159,7414,15810,14259,15982,7170,19822,25937,8240
1,0,1,1,0,1,3,0,1,1,0,0
2719,1940,1238,3280,1037,1560,2399,1682,1840,3823,4392,357
471,0,11,2,20,0,0,3,24,559,46,1
1498,3,44,11,60,2,5,7,109,1483,177,2
0,0,0,0,0,0,0,0,0,0,0,0
1094,2344,616,3274,1032,2559,3420,3375,2453,4206,4199,6886
135,9,72,35,65,36,25,73,51,249,109,3
4695,5311,3559,4524,2629,5727,5565,5946,6630,5530,9924,3465
192,296,115,346,183,531,122,471,596,331,774,267
2,6,6,3,0,24,20,1,1,7,0,1
684,718,279,895,218,1001,461,1117,539,552,1152,411
1058,1474,908,1389,720,2454,2809,1416,980,2219,1840,1160
168,125,79,265,19,291,145,32,51,40,109,33
1,1,0,1,0,0,0,0,1,0,0,0
3,8,3,14,6,13,1,8,13,10,22,3
3437,3376,3713,4368,3156,6103,2829,3654,4564,4921,7910,1379
6,10,10,10,2,7,3,17,9,12,16,5
7909,4322,16987,4432,2266,6722,10499,9065,4853,16152,5552,2273
38938,47348,65318,43251,18749,60130,33966,94011,48017,90224,62510,21245
8872,6339,9806,8217,5927,7940,10966,7230,10371,7487,11505,6764
6981,3364,7002,3977,4069,5418,13551,4163,5052,10072,5842,3282
14,2,8,24,1,9,8,6,23,28,60,12
1,1,2,1,0,0,20,0,1,0,4,3
1,0,0,0,0,0,0,0,0,0,3,2
0,1,2,7,0,4,0,1,2,0,40,12
1513,3389,13402,8854,1869,3091,5149,4809,7097,584,31349,19958
185,129,39,75,199,103,244,201,306,422,141,371
1712,1829,1236,1539,886,2058,2475,1332,1815,2117,2410,975
1,6,0,5,0,6,0,1,2,0,15,4
5186,4727,5813,7749,3809,10608,6704,9664,8716,7491,12560,1881
865,845,1036,1015,473,1598,690,1345,902,801,1794,220
1861,1872,1435,1508,983,1963,2649,2705,1587,4492,2415,1321
1136,934,499,1207,914,2762,1676,2557,2511,2007,2402,2534
3887,3603,2505,4256,3081,8289,8683,7226,7106,6811,6476,8147
5,2,0,6,9,11,5,3,4,9,12,3
38,79,145,95,47,15,115,85,78,83,121,73
1056,1020,576,1409,406,1364,2670,913,1476,1382,1433,795
467,1170,585,863,243,857,511,772,748,629,1217,408
931,2597,1093,2078,565,1929,958,1758,1926,1228,2883,959
6154,3334,4071,4187,3045,4420,8687,4688,2945,7286,6530,2485
