f694d119-bf58-4449-a811-cb7a2165d8c0,2c527579-8b48-49b4-8383-8c084c046c62,e0215e64-2787-40c4-a8bc-8c26118bae76,fef6e287-8f0d-455b-ba19-7c48c2c583d2,599b0d4c-62d4-48cd-a93c-1dd1fe85abfa,456dadea-0262-488f-8af9-63ca86c8a9f7,49e91d8f-37a3-4b7b-8062-d3ca8f561d01,8b948ed4-41e9-4441-9609-adaf4d3a102e,48bd0e00-be54-47a2-9aed-73c0c863fd39,6f54f9c0-5687-4a07-bf75-b506752b4a52,47761280-913e-4826-b400-f04f85b17476,b1cbc674-f3c1-453d-9cd1-8f4db32286ae
376,516,319,381,139,508,637,399,238,390,729,236
4727,8940,6398,6394,3203,10492,2013,7608,11506,6553,11834,8027
34,5,19,31,7,7,93,8,4,5,25,2
0,0,0,0,0,0,0,0,0,0,0,0
428,385,265,250,428,1195,232,1015,865,511,795,2521
14,8,8,3,2,14,84,5,10,15,24,7
2163,906,1207,1091,948,3266,1715,1830,2579,4639,3846,461
1700,99,13,4,190,58,24,75,48,36,58,10
0,0,0,0,0,0,0,0,0,0,0,0
21,7,4,6,5,7,10,19,6,11,1,1
3193,496,517,387,1296,846,2688,1697,500,2582,58,40
389,121,97,137,76,633,533,184,314,136,51,434
307,261,234,210,380,1380,577,491,1124,417,487,3036
0,0,0,1,0,0,0,0,0,0,1,0
4,6,1,3,5,7,13,2,5,2,6,3
974,2024,1153,1101,744,1609,614,742,1752,1057,1940,1277
5,3,36,2,3,6,6,2,7,2,3,16
740,794,769,748,502,2049,1735,650,1282,1444,1256,607
1321,2645,2472,1563,1027,2653,1317,1050,1957,1259,2864,5789
1764,3038,2957,2080,1072,5299,1498,1742,2701,1995,3393,1607
2065,1697,2289,1295,1045,4167,2478,1230,1993,3437,2548,1595
2333,3520,2675,2383,1471,6064,1674,1968,3886,3239,4857,2240
0,0,0,0,0,0,0,0,0,0,0,0
11,2,8,1,5,28,21,1,10,8,21,8
0,1,1,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,8,0,0,0,1,2
0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,5,1,3,2,1,0,3
0,2,1,1,2,14,22,0,3,2,9,1
0,1,0,4,0,20,22,1,6,14,8,0
1,2,3,1,1,8,33,0,2,14,8,1
1286,1629,1734,1113,583,3274,1932,1808,1833,1829,3184,1017
5,15,10,13,2,28,20,16,16,13,33,8
3279,7181,5149,3372,3028,4690,2761,4276,6183,4429,9993,10490
17,160,27,111,28,176,51,117,94,95,164,120
639,4486,1060,2405,663,4116,944,2808,1694,1436,3199,2157
353,765,171,358,123,700,71,482,242,158,503,280
0,0,0,0,0,0,0,0,0,0,0,0
148,191,10,110,75,15,80,176,37,13,4,15
1,1,1,1,0,5,0,1,1,1,2,0
11264,13346,14511,6689,6750,26498,17502,7845,10970,16003,19949,8176
1442,5383,1529,2578,1080,8909,1755,3420,6865,1338,1956,4374
1,0,0,3,1,0,1,1,0,3,1,0
0,4,1,3,0,8,5,5,5,1,2,4
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,2,0,0,2,0,0
69,109,235,137,52,449,362,260,92,184,119,106
6,5,1,3,0,4,8,2,3,3,1,8
4,1,1,1,1,2,4,1,0,0,1,0
1,1,0,0,0,3,4,1,0,0,2,0
0,2,1,2,44,1,1,2,1,4,2,0
0,1,2,0,2,1,2,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
4444,8769,6794,7694,3444,13924,3973,4753,11982,3748,19639,11436
0,1,0,1,0,0,0,1,0,0,0,0
16,24,26,17,3,10,1,13,21,6,55,16
3,3,0,0,0,2,0,1,1,1,3,0
37465,40939,64518,22774,19378,37042,17595,25079,30563,42532,72103,30779
22,9,10,3,8,17,23,2,9,18,11,14
0,0,0,0,0,1,0,1,0,0,0,0
116,173,133,185,70,196,128,144,92,371,187,56
0,1,0,1,3,3,3,1,1,0,2,0
0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
107,398,101,107,78,38,43,135,114,115,89,88
585,1039,1390,766,759,328,444,709,739,827,554,539
0,1,0,0,0,1,1,0,1,0,0,0
78,35,42,32,19,35,93,35,32,25,34,24
253,356,147,133,63,451,349,158,444,239,227,134
1,3,1,4,1,3,33,3,2,2,5,5
2254,9107,2416,3955,2948,4100,2175,4711,6966,2564,5732,12813
1844,3282,1166,1364,1560,1141,1019,2454,2033,1255,3009,2367
0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,1,3,8,0,16
3,6,2,1,1,14,0,3,1,1,14,20
381,454,983,603,162,1063,598,336,407,766,740,937
893,862,1259,1273,553,1477,679,809,1572,1218,2585,670
6,3,0,5,2,1,0,1,2,4,3,0
2,0,0,0,1,0,0,0,0,0,0,0
10,14,58,20,24,21,5,63,34,35,15,10
991,939,835,590,605,395,1151,1148,784,908,548,786
0,0,0,0,0,1,0,0,1,0,0,0
7210,14596,16971,10988,7841,14226,8791,16378,25730,14193,32264,6101
3,0,4,0,0,5,0,0,1,1,0,0
214,368,305,283,126,854,418,239,389,324,494,517
1682,2239,2235,2083,937,5222,2586,1899,2577,2206,3764,3414
1082,3214,1254,1751,614,1745,620,939,1825,425,3153,1463
1,4,0,4,1,3,3,1,2,4,2,3
7,6,6,8,10,13,11,4,6,23,16,3
1,0,0,1,2,2,0,0,0,0,1,1
0,1,0,0,0,0,0,0,1,0,0,0
80,124,136,69,44,101,60,43,119,50,132,103
494,1029,721,640,353,836,244,353,1025,253,1019,901
784,196,1076,645,721,8451,579,189,706,460,141,5447
0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,3,0,7,2
0,1,0,0,0,0,0,0,2,0,0,2
1530,5250,3242,2707,1623,5564,1252,2099,4952,2054,6878,4278
0,0,0,0,0,0,0,0,0,0,0,0
1,3,4,0,1,1,0,0,1,0,1,0
15,32,18,42,30,16,6,37,42,25,69,74
1751,5246,5279,3910,1601,4798,847,3163,6544,1112,8918,5925
6331,6067,7507,4221,2699,16890,3392,5754,6087,5823,7982,13709
30,18,5,22,17,40,12,12,32,52,54,0
1011,904,1027,801,329,1801,901,379,510,1039,1001,306
56,42,83,36,25,105,78,35,62,154,106,30
828,767,865,678,289,1600,669,337,496,955,910,278
108,226,88,130,52,131,28,74,165,45,318,193
2437,3643,2925,2314,1325,3082,1328,1580,3050,1705,5796,3035
0,0,0,0,0,0,0,1,2,0,2,3
953,850,1393,724,873,2371,975,914,1435,1641,2365,1384
558,600,774,749,280,2286,285,982,2354,668,3160,169
1771,2306,2935,2146,766,6412,1415,2792,6603,1284,9151,436
0,0,0,0,0,0,0,1,0,0,0,0
31,15,5,10,7,1,32,20,15,13,16,14
0,1,1,0,0,2,0,0,2,0,1,0
7827,13568,8481,10313,4281,16682,5263,10728,10116,9995,15597,6477
145,238,252,48,79,519,261,101,141,188,179,103
2005,5106,2140,4141,1509,5339,861,3856,4184,1847,5865,2656
42,179,70,24,39,232,53,49,107,32,146,61
